Time [s],Packet ID,MOSI,MISO
0.000375250000000,0,0x07,0x0E
0.000420625000000,0,0x00,0x0E
0.000473750000000,1,0x20,0x0E
0.000522000000000,1,0x0A,0x00
0.000577000000000,2,0x21,0x0E
0.000625250000000,2,0x3F,0x00
0.000680375000000,3,0x22,0x0E
0.000728625000000,3,0x3F,0x00
0.000783625000000,4,0x23,0x0E
0.000831875000000,4,0x03,0x00
0.000887000000000,5,0x24,0x0E
0.000935250000000,5,0x1F,0x00
0.000990250000000,6,0x25,0x0E
0.001038500000000,6,0x3C,0x00
0.001093625000000,7,0x26,0x0E
0.001141875000000,7,0x05,0x00
0.001196875000000,8,0x27,0x0E
0.001245125000000,8,0x07,0x00
0.001300250000000,9,0x28,0x0E
0.001348500000000,9,0x00,0x00
0.001403625000000,10,0x29,0x0E
0.001451875000000,10,0x00,0x00
0.001506875000000,11,0x2C,0x0E
0.001555125000000,11,0xC3,0x00
0.001610250000000,12,0x2D,0x0E
0.001658500000000,12,0xC4,0x00
0.001713500000000,13,0x2E,0x0E
0.001761750000000,13,0xC5,0x00
0.001816875000000,14,0x2F,0x0E
0.001865125000000,14,0xC6,0x00
0.001920125000000,15,0x31,0x0E
0.001968375000000,15,0x09,0x00
0.002023500000000,16,0x32,0x0E
0.002071750000000,16,0x09,0x00
0.002126875000000,17,0x33,0x0E
0.002175125000000,17,0x09,0x00
0.002230125000000,18,0x34,0x0E
0.002278375000000,18,0x09,0x00
0.002333500000000,19,0x35,0x0E
0.002381750000000,19,0x09,0x00
0.002436750000000,20,0x36,0x0E
0.002485000000000,20,0x09,0x00
0.002540125000000,21,0x37,0x0E
0.002588375000000,21,0x00,0x00
0.002643375000000,22,0x3C,0x0E
0.002691625000000,22,0x3F,0x00
0.002749625000000,23,0x1D,0x0E
0.002795000000000,23,0x00,0x00
0.002847125000000,24,0x50,0x0E
0.002895375000000,24,0x73,0x00
0.002950000000000,25,0x3C,0x0E
0.002998250000000,25,0x3F,0x00
0.003052875000000,26,0x3D,0x0E
0.003101125000000,26,0x07,0x00
0.003155625000000,27,0x1D,0x0E
0.003201000000000,27,0x00,0x07
0.003258000000000,28,0x2A,0x0E
0.003312125000000,28,0x29,0x00
0.003364250000000,28,0xEF,0x00
0.003416375000000,28,0xA1,0x00
0.003468500000000,28,0x11,0x00
0.003520625000000,28,0xC1,0x00
0.003574750000000,29,0x30,0x0E
0.003628875000000,29,0x29,0x00
0.003681000000000,29,0xEF,0x00
0.003733125000000,29,0xA1,0x00
0.003785375000000,29,0x11,0x00
0.003837500000000,29,0xC1,0x00
0.003892000000000,30,0x07,0x0E
0.003937375000000,30,0x00,0x0E
0.003984625000000,31,0x50,0x0E
0.004032875000000,31,0x53,0x00
0.004090375000000,32,0x20,0x8E
0.004144000000000,32,0x40,0x00
0.004192250000000,32,0x4B,0x00
0.004246875000000,32,0x01,0x00
0.004295125000000,32,0xE2,0x00
0.004354125000000,33,0x21,0x8E
0.004407750000000,33,0xC0,0x00
0.004456000000000,33,0x4B,0x00
0.004510500000000,33,0x00,0x00
0.004558750000000,33,0x00,0x00
0.004617750000000,34,0x22,0x8E
0.004671375000000,34,0xD0,0x00
0.004719625000000,34,0xFC,0x00
0.004774250000000,34,0x8C,0x00
0.004822500000000,34,0x02,0x00
0.004881375000000,35,0x23,0x8E
0.004935000000000,35,0x99,0x00
0.004983250000000,35,0x00,0x00
0.005037875000000,35,0x39,0x00
0.005086125000000,35,0x21,0x00
0.005145125000000,36,0x24,0x8E
0.005198625000000,36,0xC1,0x00
0.005246875000000,36,0x96,0x00
0.005301500000000,36,0x82,0x00
0.005349750000000,36,0x1B,0x00
0.005408750000000,37,0x25,0x8E
0.005462375000000,37,0x24,0x00
0.005510625000000,37,0x06,0x00
0.005565125000000,37,0x7F,0x00
0.005613375000000,37,0xA6,0x00
0.005672375000000,38,0x2C,0x8E
0.005726000000000,38,0x00,0x00
0.005774250000000,38,0x12,0x00
0.005828875000000,38,0x73,0x00
0.005877125000000,38,0x00,0x00
0.005936125000000,39,0x2D,0x8E
0.005989625000000,39,0x46,0x00
0.006037875000000,39,0xB4,0x00
0.006092500000000,39,0x80,0x00
